den/hod;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
0;0.313433;0.514925;0.223881;0.470149;2.156716;4.529851;14.585074;23.577614;23.010448;16.167164;15.458210;13.323881;13.297014;11.070149;14.829412;15.202985;14.498507;13.546269;19.352238;21.397017;11.980303;5.962687;5.083582;1.507692;
1;0.761538;0.386364;0.289231;0.353846;1.106061;16.568182;18.278788;10.656716;11.974627;5.043283;8.470149;6.181818;3.962687;4.332836;4.428359;4.500000;6.802985;8.616177;16.708824;16.702942;7.977612;8.677941;3.052941;1.646269;
2;0.330882;0.316176;0.323529;0.308824;1.441176;9.275001;11.030882;12.738235;14.013236;18.842646;15.817647;18.217648;12.139706;11.789706;13.994118;15.847058;15.469116;12.388236;15.350000;32.669121;8.986765;12.048530;4.244118;2.344118;
3;0.213235;0.411765;0.382353;0.058824;2.026471;10.550000;11.342647;12.589705;11.389706;8.622059;9.714706;11.642647;6.288235;4.832353;5.289553;5.147761;6.574627;8.397058;14.350746;17.533823;8.714705;5.139706;3.316418;1.876119;
4;1.295455;0.294030;0.238806;1.373134;1.431343;6.658209;12.602985;29.367647;20.100000;17.310293;14.592647;14.648530;8.448529;12.116176;16.483824;13.441176;14.005882;9.361764;11.010293;18.080883;14.085294;5.040579;3.635821;1.873134;
5;0.179710;0.319118;0.110294;0.235294;0.963768;2.717391;7.915943;20.328985;19.823187;20.608696;28.621740;27.065216;21.988407;19.111765;13.766176;11.091177;10.472058;7.823529;12.150001;16.376471;6.786765;4.211940;5.413433;2.197015;
6;0.632836;0.343284;0.859091;0.373134;0.552239;2.379104;8.686567;14.294030;18.694031;21.004477;35.359703;23.029850;16.843283;11.947762;8.364180;7.110448;12.058209;13.844776;18.888060;18.225372;11.422389;7.328358;4.788060;0.838806;
